generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta
152,19.1,42.0,565,0.0072,0.0090,0.1112,0.2143,-0.3893,-0.0969,0.6549,0.5597,0.0000,0.0000,0.0000
153,17.8,56.0,454,-0.0274,0.0258,0.1214,0.0828,-0.5370,-0.0089,0.6180,0.5510,0.0000,0.0000,0.0000
154,17.9,44.0,448,-0.0002,0.0196,0.1406,0.1886,-0.3938,-0.0657,0.6326,0.6090,0.0000,0.0000,0.0000
155,17.4,46.0,458,0.0131,0.0685,0.1205,0.1272,-0.4028,-0.2297,0.5927,0.5857,0.0000,0.0000,0.0000
156,19.2,67.0,463,0.0245,0.0527,0.0547,0.1434,-0.4768,-0.3413,0.3811,0.5275,0.0000,0.0000,0.0000
157,23.4,73.0,717,0.0026,0.0372,0.1014,0.2798,-0.4295,-0.1991,0.3105,0.5189,0.0000,0.0000,0.0000
158,28.1,72.0,815,-0.0017,0.0716,0.1363,0.4347,-0.4088,-0.1107,0.3652,0.5274,0.0000,0.0000,0.0000
159,23.9,68.0,609,0.0052,0.0065,0.1179,0.3883,-0.3979,-0.1882,0.3554,0.5942,0.0000,0.0000,0.0000
160,24.8,68.0,680,-0.0234,0.0403,0.1136,0.3514,-0.4065,-0.1306,0.5439,0.5137,0.0000,0.0000,0.0000
161,28.6,83.0,566,0.0128,0.0067,0.1082,0.2895,-0.3688,-0.3073,0.6567,0.4277,0.0000,0.0000,0.0000
162,18.0,47.0,401,-0.0195,0.0121,0.0852,0.1210,-0.3378,-0.2797,0.9529,0.5758,0.0000,0.0000,0.0000
163,28.4,72.0,496,0.0014,0.0036,0.0659,0.1350,-0.4192,-0.2602,0.9912,0.6024,0.0000,0.0000,0.0000
164,27.5,71.0,462,-0.0011,0.0138,0.0706,0.1606,-0.3294,-0.0168,0.9888,0.4921,0.0000,0.0000,0.0000
165,20.5,70.0,419,-0.0462,0.0195,0.1125,0.1796,-0.4907,0.0916,0.9752,0.5260,0.0000,0.0000,0.0000
166,17.4,43.0,435,-0.0471,0.0191,0.0785,0.1671,-0.4133,0.1000,0.9656,0.5369,0.0000,0.0000,0.0000
167,20.5,51.0,506,-0.0566,0.0118,0.0611,0.2392,-0.3538,-0.1734,0.9691,0.5790,0.0000,0.0000,0.0000
168,19.2,74.0,564,-0.0006,0.0121,0.1039,0.2740,-0.5072,-0.2453,1.0477,0.5262,0.0000,0.0000,0.0000
169,21.5,85.0,504,-0.0096,0.0184,0.0532,0.2206,-0.3586,0.0328,1.0711,0.5120,0.0000,0.0000,0.0000
170,22.9,101.0,454,-0.0293,0.0361,0.0303,0.2192,-0.4738,0.0019,1.0729,0.4854,0.0000,0.0000,0.0000
171,15.9,38.0,444,-0.0011,0.0135,0.1142,0.1795,-0.3271,-0.1711,1.0311,0.5356,0.0000,0.0000,0.0000
172,23.0,57.0,610,0.0007,0.0353,0.0805,0.2264,-0.5406,-0.0658,0.6853,0.5334,0.0000,0.0000,0.0000
173,20.1,51.0,542,-0.0145,0.0207,0.1334,0.1514,-0.4511,-0.0320,0.2842,0.5258,0.0000,0.0000,0.0000
174,35.4,90.0,1070,-0.0091,0.0093,0.1252,0.2288,-0.3268,0.0095,0.5140,0.5209,0.0000,0.0000,0.0000
175,21.1,53.0,541,-0.0132,0.0118,0.0665,0.4003,-0.4148,-0.0480,0.8009,0.6088,0.0000,0.0000,0.0000
176,23.9,89.0,709,-0.0087,0.0197,0.2266,0.2658,-0.3551,0.0014,0.8250,0.5485,0.0000,0.0000,0.0000
177,21.2,62.0,612,-0.0145,0.0047,0.1916,0.2109,-0.4484,-0.0408,0.9199,0.5698,0.0000,0.0000,0.0000
178,21.7,67.0,611,-0.0043,0.0166,0.1739,0.3857,-0.4032,0.0350,1.5343,0.5280,0.0000,0.0000,0.0000
179,23.1,80.0,617,-0.0096,0.0072,0.1754,0.1956,-0.4085,-0.2310,1.5598,0.4899,0.0000,0.0000,0.0000
180,22.3,52.0,637,-0.0141,0.0090,0.1493,0.2355,-0.3528,-0.1082,1.5525,0.5335,0.0000,0.0000,0.0000
181,31.3,69.0,912,0.0178,0.0467,0.1582,0.3161,-0.4091,-0.1746,1.4909,0.5326,0.0000,0.0000,0.0000
182,26.1,88.0,878,-0.0301,0.0073,0.1597,0.1776,-0.4309,0.0630,1.4937,0.5569,0.0000,0.0000,0.0000
183,25.4,71.0,773,0.0152,0.0205,0.1877,0.3521,-0.4356,-0.4050,1.4795,0.4746,0.0000,0.0000,0.0000
184,31.3,76.0,895,-0.0022,0.0132,0.1587,0.1281,-0.3597,-0.1534,1.4821,0.5428,0.0000,0.0000,0.0000
185,21.2,51.0,526,-0.0175,0.0210,0.1157,0.1773,-0.4292,-0.2300,1.4780,0.5731,0.0000,0.0000,0.0000
186,21.0,68.0,741,-0.0283,0.0092,0.1745,0.2033,-0.4742,0.1702,1.5035,0.5263,0.0000,0.0000,0.0000
187,20.2,63.0,596,-0.0118,0.0123,0.1621,0.2228,-0.5296,0.1089,1.5288,0.5431,0.0000,0.0000,0.0000
188,20.7,61.0,586,-0.0101,0.0121,0.1659,0.2022,-0.4396,0.0006,0.9618,0.5646,0.0000,0.0000,0.0000
189,20.6,61.0,499,-0.0121,0.0491,0.0853,0.3076,-0.4258,-0.2026,0.6878,0.4632,0.0000,0.0000,0.0000
